Mixture	B	Endothelial	Fibroblasts	Mono/Macro	Tprolif	CD4Tconv	CD8Tex	Malignant	P-value	Correlation	RMSE	Absolute score (sig.score)
value...1	0.229908670842709	0.017144027319738	0.0501853846309647	0.0328713890321391	0.558718121160099	0.497235699065337	0.253997882279935	0.849139619420673	0	0.905569556762754	0.574509336140291	2.48920079375159
value...2	0.217210581977087	0.340695082893119	0.0457284011965403	0.359757999189436	0.109053877108613	0.643499870074344	0.252476006412038	0.592048499791647	0	0.899778487813718	0.599261955308692	2.56047031864282
value...3	0.058583100011371	0.249601097516476	0.31267104896765	0.0966447716787798	0.892147216561351	0.545687218626293	0.503097990525382	0.0120463124639346	0	0.902612480400197	0.539357638390735	2.67047875635124
value...4	0.0746930616553339	0.0648308392987123	0	0.257585071448963	0.552499266368282	0.378380157204347	0.187383425143522	1.01891414827778	0	0.894822690559686	0.583308748020921	2.53428596939694
value...5	0.193703904890358	0.3233868612217	0.173756354293736	0.0942857110399534	0.438784811242794	0.378834526823097	0.0917784539725759	0.893001222345365	0	0.87065711145446	0.629242318573149	2.58753184582958
value...6	0.407877883267075	0.376660390998127	0.483401718334927	0.143840554091183	0.112677077494419	0.309959863823547	0.486878394145682	0.358528290880408	0	0.850309735810232	0.610344796863021	2.67982417303537
value...7	0.0709395743684473	0.0424712961941828	0.289902670838568	0.00147630878993917	0.439212658587696	0.218066722813484	0.171036269819	1.33669288591733	0	0.858655852435328	0.584156683803635	2.56979838732865
value...8	0.104292023881134	0.0132664777458169	0.190753857484966	0.0252339389098894	0.274071078256653	0.249111525631	0	1.62221513019508	0	0.872317096482528	0.539805434129597	2.47894403210454
value...9	0.0512478347119608	0.133928533231851	0.134676711432288	0.328574058690371	0.53428846119399	0.308102298288008	0.0714800399090636	1.02434324939284	0	0.876897319943583	0.607642199662687	2.58664118685037
value...10	0.180759413983908	0.132083201353451	0.076207686311457	0.081645375933798	0.218009949681065	0.364691478116531	0.246800322760141	1.18609854363097	0	0.88151270330626	0.582089884364939	2.48629597177132
value...11	0.0106240948639319	0.389050217108383	0.146893865702812	0.291431340336981	0.1297794679153	0.311580469815257	0.163319273254042	1.15689928172624	0	0.872885348812925	0.590707782443765	2.59957801072294
value...12	0.0828185310150368	0.121968628117711	0.111918242753042	0.00688519865989871	0.14072259738271	0.125071217268729	0.00774034477745809	1.86921834237689	0	0.872130834154935	0.5135581088095	2.46634310235148
value...13	0.0610081351399105	0.0194865608079488	0	0.0235897522067437	0.220422615132325	0.136688084585882	0	1.95175133028079	0	0.873735698419618	0.503897298164534	2.4129464781536
value...14	0.314960167388986	0.25455631853857	0.139269302897107	0.0222593658984832	0.301086223589017	0.371973890742953	0.39437982052135	0.774488216488952	0	0.891432863051448	0.599480721208482	2.57297330606542
value...15	0.0577227826531037	0.123451750272534	0.071073635934508	0.0699879921486567	0.362975195680622	0.208728162224032	0.0968686616529883	1.52760035256321	0	0.873498033485738	0.556942699597531	2.51840853312965
value...16	0.222366538870718	0.456477074642325	0.555114874344264	0.111492433251399	0.207744357346919	0.252380485212271	0.113004454276787	0.770763714465219	0	0.832663896454419	0.618389549851615	2.6893439324099
value...17	0.228761528927025	0.349288108144137	0.165056752647344	0.348320208704339	0.549734889674287	0.603843506618163	0.411573006707822	0.0254932591538073	0	0.911755214106041	0.552958771464762	2.68207126057692
value...18	0.00534944993120084	0.0301472674302454	0	0	0.108648177615646	0.0358548253264846	0	2.21930216037793	0	0.882474478135312	0.472667785102822	2.39930188068151
value...19	0.210549296620714	0.0752885651266482	0.39666953220309	0.437670422339337	0.828139191303135	0.540743190839827	0.162531569851572	0.0453412157891046	0	0.883579103942343	0.581506528621667	2.69693298407343
value...20	0.294394245066604	0.33804955744094	0.150102600584787	0.207816614279078	0.452123832754228	0.675801833094809	0.117093744971667	0.356560230623907	0	0.899196283094689	0.611069639911894	2.59194265881602
value...21	0.0251439770204349	0.0785754410368623	0	0	0.0888899490833869	0.0671310370413196	0.0206576176386472	2.13901301548646	0	0.876717795821975	0.486250147638038	2.41941103730711
value...22	0	0.27286617799847	0.112255777283207	0.396273520693352	0.553922546562172	0.558094300734285	0.435786706420681	0.325483528384531	0	0.914419863410538	0.563687276383574	2.6546825580767
value...23	0.332032501672439	0.268545526662837	0.0304094765363681	0.0625489782449554	0.444799949856209	0.211217819870989	0.0284478569742055	1.15424107348928	0	0.865070287436018	0.615669643786373	2.53224318330728
value...24	0.964080815177666	0.121310269570644	0.0940171334262082	0.190786578562018	0.101291760878889	0.469354445989093	0.581460015729157	0.0270405340940308	0	0.916350158266256	0.489316986310978	2.54934155342771
value...25	0.367781239123641	0.131008912201569	0.097599597904915	0.354422277911968	0.156432945542396	0.117357477624541	0.259815004350622	1.07764123634431	0	0.877706279543741	0.591725545892822	2.56205869100396
value...26	0.058368861494042	0.372486570689178	0.0862424965637483	0.100640362346103	0.33071080590447	0.830846188676862	0.466027914918418	0.291636449756162	0	0.905726163789105	0.562728001456966	2.53695965034898
value...27	0.0579782645981244	0.155526799944055	0.0239233453595892	0.00385136100818341	0.418851754161706	0.244524030873665	0.22520905120017	1.382325745187	0	0.879169429025444	0.566133767141176	2.51219035233249
value...28	0.225948181022064	0.184478786896098	0.271498693836166	0.194926114118594	0.143946524848252	0.168603053192062	0.0059552354603161	1.3840467879147	0	0.859734845882847	0.577271965139267	2.57940337728826
value...29	0.00190788772707566	0.0741709023980944	0.23103669861098	0.0461086803222449	0.479293777273409	0.27237562640219	0.181812402365767	1.2597371251892	0	0.866612409559709	0.585799967917786	2.54644310028896
value...30	0.309498312888728	0.435677609667247	0.111186683756174	0.300702343291457	0.496689575129347	0.823118748955676	0.0675521756462537	0.0633699205890447	0	0.898010667396791	0.592865981997995	2.60779536992393
value...31	0.201947401013219	0.460710971848058	0.0606883605048075	0.255086688566069	0.783878818432367	0.521271910905424	0.152448815500635	0.214823548897137	0	0.905187964552297	0.602549903546046	2.65085651566772
value...32	0.21467897011632	0.299104907951354	0.123478120129308	0.35907472832417	0.377275497635464	0.560892969103533	0.14395655760627	0.532574630915368	0	0.900240533144188	0.611177794825112	2.61103638178179
value...33	0.0654103319747115	0.109882951602295	0	0.196278413387352	0.409030176117037	0.315397140964772	0.154168763090374	1.26153181546021	0	0.876091414864196	0.582403986993393	2.51169959259675
value...34	0.285080103263949	0.532378581941357	0.402725370765328	0.465963384581573	0.406049569575702	0.301499198560701	0.37661468686396	0.0126783792208015	0	0.869016245053033	0.594753155418431	2.78298927477337
value...35	0.00201824087495186	0.0255134437847329	0.285356758987536	0.402113110013044	0.277758628329098	0.394098209541167	0.363717263608922	0.871224934177813	0	0.88310323614586	0.583321059191393	2.62180058931727
value...36	0.248251929476523	0.341890365632638	0.00735502170695417	0.353742225218036	0.150840001093396	0.444281539536036	0.155559448245403	0.877945030090312	0	0.885683287125157	0.609481096741872	2.5798655609993
value...37	0.0634344422152424	0.0861553866617612	0.158634949172573	0.12612051080908	0.146230244638621	0.19478429918225	0.0663874683339568	1.65789793906468	0	0.859718892069077	0.550230155060415	2.49964524007817
value...38	0.266165937589613	0.132952320779013	0.166421189234321	0.227120616196391	0.800462117393993	0.254589484730808	0.221861084617935	0.532910121366454	0	0.89756771966391	0.605999307560868	2.60248287190853
value...39	0.0827422358841066	0.227571959824727	0.145479165077439	0.203827332107921	0.0810852672874041	0.412634823144988	0	1.36953658983539	0	0.864679351838562	0.577875532036684	2.52287737316197
value...40	0.116102635252094	0.0943399427877047	0.127379410980576	0.13600747269217	0.249050038757633	0.197300503305834	0.0494930326768996	1.55626824728386	0	0.869565186600747	0.555426870462941	2.52594128373677
value...41	0.138567615401956	0.193628955940681	0	0.102658371196564	0.687820873284767	0.184217399279261	0.055255295514658	1.19352387291306	0	0.868708744133045	0.607759932180258	2.55567238353095
value...42	0.207136732560353	0.0443959779035839	0.214754990684185	0.15345601633093	0.175777645514508	0.308211547040201	0.0389021759403827	1.38662968255057	0	0.858321350181266	0.582216059848912	2.52926476852471
value...43	0.19255194575791	0.0131342303778273	0.0736832523846493	0.0679134814582154	0.376242180771048	0.373746220410399	0.208254322358286	1.19112562313309	0	0.883552018558606	0.578295947484291	2.49665125665142
value...44	0.393438113236641	0.422751919850526	0.0112431452022203	0.341474471913244	0.129922553265634	0.733486208723125	0.452420526414073	0.088284310613314	0	0.915973540314535	0.540143266243668	2.57302124921878
value...45	0.0985787706772337	0.124043556944084	0.0126576088127518	0.0595654378832116	0.264665334900508	0.0827022253442625	0.00385109639236429	1.84226043756969	0	0.869936301745669	0.524152524458258	2.4883244685241
value...46	0.411486539118143	0.453867686751804	0	0.452634153341179	0.688580640159816	0.34742299478958	0.121036406762546	0.197414182429094	0	0.898031266080394	0.602501259480262	2.67244260335216
value...47	0.153898524496321	0.0422678179343862	0.506507771849388	0	1.15033068761063	0.28015785155507	0.15788899602872	0.383975272794963	0	0.845400952476755	0.620247194367685	2.67502692226948
value...48	0.183994853952181	0.385341279820818	0.0250119854751869	0.52875128079569	0.197153963488613	0.519250409130636	0.244240686243617	0.529356871198716	0	0.901195705824923	0.595234459517466	2.61310133010546
value...49	0	0.328454582465792	0.190226474268036	0.220816646347955	0.158007193347796	0.330291209170388	0.241639718308282	1.14547118641861	0	0.871475850744448	0.592565125089136	2.61490701032686
value...50	0	0.0792869852469767	0.117213863523921	0.080953659918479	0.230511185466517	0.134756248039271	0.0764145907314741	1.78275238187995	0	0.868335718132977	0.528747104789261	2.50188891480658
value...51	0.204036248826496	0.0617636369215871	0.0663249153751487	0.221678134570781	0.111472077807244	0.247405664969846	0.131000600231801	1.4536129579208	0	0.870671918104933	0.562374689123172	2.4972942366237
value...52	0.061537109408333	0.119765673422351	0.109562438092885	0.315444136135127	0.492768621484077	0.241055278004446	0.111665508431314	1.1485976750695	0	0.875563239459839	0.597075072298129	2.60039644004804
value...53	0.0742287578138739	0.0659524683021745	0.039391061736583	0.0371514150971426	0.295679942269527	0.158080795034084	0.018715327862895	1.79864469185711	0	0.875534609385951	0.521506786041944	2.48784445997339
value...54	0.0620529817210832	0.157941720046354	0.107393078121992	0.191174794153799	0.191151406636418	0.189704979898686	0	1.63569398055301	0	0.868605076835793	0.546061709885845	2.53511294113134
