Mixture	B	Endothelial	Fibroblasts	Mono/Macro	Tprolif	CD4Tconv	CD8Tex	Malignant	P-value	Correlation	RMSE	Absolute score (sig.score)
value...1	0.0589205306593888	0.179739849908124	0.0795483482792574	0.280122038745765	0	0.166075385206735	0.345509240920555	0.169173766262454	0	0.573572656921775	0.820753451713884	1.27908915998228
value...2	0.292248605990995	0.134311674161713	0.0639825666314554	0.305297271517296	0	0	0.430986633811923	0.0427009545757831	0	0.630186588359717	0.778904584871867	1.26952770668917
value...3	0.0358031405443804	0.351693473290201	0.115185029845386	0.206074880476454	0	0.0175990811509087	0.0591999088470153	0.472302332344943	0	0.411895369907747	0.927830660715145	1.25785784649929
value...4	0.0961368252483346	0.309293100043622	0.0951361768719738	0.308111716327493	0	0	0.0205861420724823	0.444713392616432	0	0.419914954974277	0.924717182664651	1.27397735318034
value...5	0.0345446759268529	0.387785126570771	0.0984847468022913	0.043959277517521	0.0743697552635867	0.0642920295340052	0.0429877846303617	0.484370087608699	0	0.368344578146102	0.948732038445005	1.23079348385409
value...6	0.241479315582414	0.247684519411867	0.0741430405663497	0.348113599476739	0	0	0.166024783910362	0.19196581682717	0	0.534729167469512	0.846789958531883	1.2694110757749
value...7	0.136986767780833	0.236841055130014	0.0934247326855817	0.168295128214504	0	0.0408411892279594	0.35525200458528	0.20974430565027	0	0.516381273878545	0.858548556464521	1.24138518327444
value...8	0.071139539607651	0.233841535669467	0.0921839372358545	0.436699278656307	0	0.0374560175990417	0.203391483396209	0.216604507435351	0	0.513221606892589	0.867044364391516	1.29131629959988
value...9	0	0.360218086469997	0.13872128694673	0.0645729597241231	0.0736673212636473	0	0	0.602962924848839	0	0.342632323595501	0.979748648777031	1.24014257925334
value...10	0.123789512656386	0.298761858604677	0.106720594575516	0.178199461493984	0	0.0255359219494393	0.168837606654961	0.344437642867012	0	0.451169651292744	0.896603200463341	1.24628259880198
value...11	0.182710943363046	0.149994520613113	0.0338385330601105	0.137121380252077	0	0.287345011703323	0.197621797304029	0.207672431881366	0	0.499256213454483	0.869623532916568	1.19630461817706
value...12	0.119515801926469	0.265093122336974	0.114311285682228	0.284495951045547	0	0.0568201154851397	0.179015899043138	0.249184799633393	0	0.513358493917055	0.859683042658816	1.26843697515289
value...13	0.101341555104519	0.264850735513945	0.10342441671724	0.350481274057848	0	0	0.176819747964358	0.273663812079497	0	0.470605440566992	0.890854888897223	1.27058154143741
value...14	0.0603845104471464	0.232746323512053	0.0865068277848473	0.334785843935264	0	0.0836909582730132	0.233821175088212	0.238653716414684	0	0.506032362400692	0.867244935382338	1.27058935545522
value...15	0.205023396816032	0.112601925760765	0.0385999968383972	0.411321624238654	0.0110570605435798	0	0.427502919808983	0.0858566436527015	0	0.611729428294474	0.798330894744674	1.29196356765911
value...16	0.0749617581924963	0.253187042638256	0.0738558893659233	0.270529433030372	0	0	0.289450860201851	0.306320872826923	0	0.459473996501141	0.896398527069325	1.26830585625582
value...17	0.203105997998582	0.0241235170701215	0.0046830539528246	0.449033227515729	0	0.160180637336379	0.446508821529895	0	0	0.69620106796267	0.727707406812799	1.28763525540353
value...18	0.0816483676082423	0.111110950092664	0.0376005469889021	0.481141390044956	0	0.157377391870001	0.351021451721204	0.0854701037142032	0	0.627983203232567	0.785373666960965	1.30537020204017
value...19	0.128655004664852	0.18055416862047	0.0792245861939607	0.457643147768239	0	0	0.312927592677188	0.147950926271345	0	0.601019257941105	0.802861941269418	1.30695542619605
value...20	0.117020725998506	0.306230794216678	0.159929591462531	0.35897289050727	0	0	0.0687988091284039	0.27776469930223	0	0.518992937554124	0.858897229765425	1.28871751061562
value...21	0.106275848184224	0.268273223327336	0.109546127354871	0.313574736358667	0	0.159196526424613	0.136036710188626	0.185644976091827	0	0.539079103721148	0.842859963513192	1.27854814793016
value...22	0.165361537564287	0.153029672468317	0.0945358302234873	0.576315697753891	0	0.025510382623454	0.332260233701125	0.00901305419174668	0	0.686791594990477	0.730825338811784	1.35602640852631
value...23	0.0733488527152048	0.379940718636096	0.141138673996263	0.135729082312844	0	0	0.1404110436423	0.374322126876045	0	0.41300851682308	0.92252825864184	1.24489049817875
value...24	0.0712444338854524	0.329932207770896	0.0998217508732528	0.286826704833245	0	0.0194574906681114	0.107360335087359	0.368480724401978	0	0.424967600251382	0.917480302628874	1.28312364752029
value...25	0.0573024364238815	0.378811348195093	0.110744722986286	0.115682095710349	0.00108752963812864	0	0.0443567113897782	0.529362098141086	0	0.368027681825931	0.956924777428451	1.2373469424846
value...26	0.295429512386445	0.219525064489025	0.0670071092549159	0.249067920512634	0	0.0431335861304771	0.239283956257287	0.117446625627215	0	0.547853750901228	0.837382806523039	1.230893774658
value...27	0.0938973321621505	0.152875132184095	0.0477940697390195	0.447892515960478	0	0	0.307551728287285	0.241162883723439	0	0.536798660150421	0.853685876209736	1.29117366205647
value...28	0.109641341061506	0.305402569452486	0.0695752553587547	0.289865925034986	0	0.0795925432783841	0.0691395106046235	0.329680447625548	0	0.444145793880891	0.903487125650628	1.25289759241629
value...29	0.0971384779054634	0.353296220836921	0.140724009415464	0.281300500793137	0	0	0.0385560740006829	0.357135823772684	0	0.461151255803472	0.896508946363382	1.26815110672435
value...30	0.0215105369542285	0.353632469308468	0.0948472483956308	0.133522159656835	0.0601386377800494	0	0.0134929588359178	0.563878402410143	0	0.35073735838625	0.967730380420982	1.24102241334127
value...31	0.118791430614799	0.171477173611678	0.0950468575737076	0.432830865914983	0	0	0.357608592203994	0.129519698643583	0	0.598645838326989	0.805114565755604	1.30527461856274
value...32	0.231292677857489	0.216293614839943	0.102023843288301	0.233048524619664	0	0.0111447719803457	0.31704102629858	0.129236495897893	0	0.564993586427305	0.825490964474366	1.24008095478222
value...33	0.00755433220992092	0.339047515359548	0.141378459496619	0.28937671881836	0	0.0478326652622312	0.185312477985513	0.264708250475948	0	0.471450913799255	0.889371338743252	1.27521041960814
value...34	0.047078833231708	0.347161213502876	0.13427858765693	0.293305344092125	0.0292558754630738	0	0.0227467340325421	0.407215742844928	0	0.426072615076638	0.921090018188509	1.28104233082418
value...35	0.101217596466754	0.212187610563922	0.0750560365434125	0.365935865240518	0	0.105484067015054	0.157718329380723	0.257058326079801	0	0.520020756246125	0.857373650123706	1.27465783129019
value...36	0.121586379050949	0.269298005433538	0.071545772150493	0.238984669313158	0	0	0.29743787812057	0.272194524362967	0	0.480544118964431	0.881415779591145	1.27104722843167
value...37	0	0.375216710729301	0.0918229192446659	0.0311804218377644	0.0788877870986919	0	0	0.656874840235841	0	0.332400066765672	0.988403677842988	1.23398267914626
value...38	0.0605952562039558	0.305977427559452	0.131343270070123	0.249535756990466	0	0	0.329569949987042	0.211129805439101	0	0.523294304399629	0.854751603669119	1.28815146625014
value...39	0.0596395798881916	0.242248633047169	0.121144746753248	0.369474440564186	0	0.0236415029689986	0.24931149864142	0.229864086257442	0	0.548546484302754	0.838800415113777	1.29532448812066
