Mixture	B	Endothelial	Fibroblasts	Mono/Macro	Tprolif	CD4Tconv	CD8Tex	Malignant	P-value	Correlation	RMSE	Absolute score (sig.score)
value...1	0.133630012701919	0.154022749723138	0.180854314633723	0.408650239397876	0.109259918170897	0.6875437171947	0.53509935444818	1.03260194589992	0	0.941857194555301	0.531847177394737	3.24166225217035
value...2	0.870594788645607	0.188688734589401	0.256553817342727	0.745996665976997	0.109130097215142	0.742385689789756	0.18653262844778	0	0	0.860167077438167	0.584253187574138	3.09988242200741
value...3	0.235591643527221	0.0399509527167805	0.221741554877552	0.205658243853123	0.0151793569162778	0.137456952419075	0.187104862160944	2.13280443727591	0	0.941824935417314	0.42909206854984	3.17548800374689
value...4	0.253103325053529	0.247524096139506	0.132375661026266	0.103353135775801	0.0780663225686317	0.183495836417451	0.132946664871843	2.04814289563537	0	0.940237233580908	0.45207084186881	3.1790079374884
value...5	0.130350797957038	0.137157216977328	0.110606122513607	0.0867119424996446	0.0655821560409777	0.138476436391165	0.197106064451796	2.26236831248631	0	0.93316708492771	0.428167524838568	3.12835904931787
value...6	0.2813842808301	0.23391695624742	0.195322037542469	0.405804017524569	0	0.281375185528663	0.310480308228618	1.56026381194199	0	0.880975305269113	0.570185203666195	3.26854659784383
value...7	0.0794846330511621	0.524950485368468	0.220387331361387	0.486858503271016	0.120344976323936	0.324074946320213	0.375068013194432	1.26601900799342	0	0.928331325817961	0.54771420470409	3.39718789688404
value...8	0.160930812535341	0.150733805560142	0.124103341807833	0.348788519094373	0.0594050428070675	0.354712893797407	0.435453934901283	1.63193913397901	0	0.926493977562439	0.514950404334132	3.26606748448246
value...9	0.0975041953545191	0.0835869639867835	0.0543453659686036	0.0865142178127138	0.0194350747595074	0.0364768880227349	0.0776716741551806	2.70106966411945	0	0.95293041723578	0.338493239770814	3.15660404417949
value...10	0.337619021909203	0.103886670162524	0.193147165474336	0.17591835970126	0.068495260472414	0.368102443200769	0.214727029007732	1.70311767380639	0	0.948488681547638	0.484232961047485	3.16501362373463
value...11	0.348597142443244	0.227855739378252	0.0200419184111822	0.155812528829392	0.10767278361218	0.425620557214847	0.590732813113998	1.16407332353719	0	0.908899825905041	0.559270923043638	3.04040680654029
value...12	0.317764077916442	0.202338377391221	0.306891783656303	0.319844295206333	0.0685605987290683	0.428391007211771	0.359402714199246	1.20890192192448	0	0.918681768700186	0.556337551568689	3.21209477623486
value...13	0.125694934853274	0.298271208854476	0.136564657680955	0.201851374209912	0.0155351533130347	0.383534699332676	0.190694941885619	1.87435139466447	0	0.924588202097948	0.495620305012862	3.22649836479442
value...14	0.317013202332544	0.0747336803890876	0.0802323719784997	0.344990113913571	0.0740841112306947	0.409223382842811	0.461860927758342	1.40605841478971	0	0.947262308022304	0.506797343417969	3.16819620523526
value...15	0.181403251252836	0.52282133444465	0.0439690337630624	0.586256397506073	0.0914325356551654	0.957522960796419	0.189917103756186	0.645968079855846	0	0.901533090539298	0.596239991498948	3.21929069703024
value...16	0.531886222285005	0.247853516180654	0.15005556540091	0.423133751552236	0.0163656487691238	0.19331113868159	0.133023568669189	1.54075667262236	0	0.930058341885237	0.524241695927858	3.23638608416107
value...17	0.0945981400451707	0.490981703741085	0.0351870107293284	0.932822519359082	0.143231378989157	1.0323783168855	0.546483717590443	0	0	0.870307325738631	0.565559650526667	3.27568278733977
value...18	0.351947882991735	0.277492444630905	0.114270268833003	0.599387637587661	0.0810940775374355	0.646113633972853	0.859695173382917	0.393549016500286	0	0.890884618296553	0.557662500857058	3.3235501354368
value...19	0.233033598745096	0.415635048082762	0.19087680147543	0.637232048990565	0.0832565551522672	0.476209945774462	0.43896037671165	0.920883685968496	0	0.864461231443119	0.615943921336159	3.39608806090073
value...20	0.332706573900662	0.0613614674670582	0.328019503092379	0.167894542182301	0	0.367153589566543	0.196452345070743	1.75953286392104	0	0.887853754579186	0.541802928447733	3.21312088520072
value...21	0.475783255781208	0.094648269932904	0.289672123555248	0.307771190182352	0.160539529924934	0.420233716731694	0.539427053038346	0.960080318412521	0	0.912348800322859	0.565988904513156	3.24815545755921
value...22	0.174022766929298	0.24950313342146	0.486423235823311	0.458575104854576	0.140172267143488	1.11976492478216	0.614228859427963	0.0174600304346872	0	0.835599803697936	0.601190693381233	3.26015032281695
value...23	0.16003078944893	0.0590542132871904	0.158124078910367	0.249874107678383	0.0234942547882839	0.143820988664066	0.0899637459505772	2.3181478425594	0	0.944358108362506	0.403893527753467	3.2025100212872
value...24	0.194938573022078	0.0287062179241606	0.110488124611281	0.0790132912165673	0.0158800236606122	0.29647097088642	0.18753668930589	2.1276869648041	0	0.941466874334489	0.425588002340359	3.04072085543111
value...25	0.119173979408861	0.196620957200047	0.0451854092012778	0.0940889048530266	0.0175481613015446	0.103405559238202	0.113905804562354	2.49013117367757	0	0.932237051731229	0.407893247516906	3.18005994944288
value...26	0.882222018202125	0.424096796931524	0.365998251791796	0.153686551354281	0.104536774928061	0.917336489098777	0.199602267977996	0.0124953174522809	0	0.886622296616835	0.570169192140332	3.05997446773684
value...27	0.248915945997346	0.0908573096288272	0.0121672186773916	0.328181871931152	0.0749811206259392	0.54986473875669	0.333179268466077	1.51360234120055	0	0.926859777332366	0.522959158272547	3.15174981528397
value...28	0.264456670233924	0.119383741550298	0.144719189749667	0.260887232336832	0.0620281319625376	0.311199682645296	0.331054550254514	1.71960328949972	0	0.939775185451655	0.492645220916073	3.21333248823279
value...29	0.496238119264466	0.0742572853768472	0.346814233709174	0.166625743709452	0.0458458634149192	0.147593187546445	0.151305200537044	1.80033434507293	0	0.91417963879134	0.507532909064168	3.22901397863128
value...30	0.033698800073319	0.140969263996379	0.0101662136241757	0.0820619981657861	0.0574526110925623	0.102747126915268	0.0796208643029178	2.63735848100723	0	0.950645810127902	0.351129059791353	3.14407535917763
value...31	0.36482226165782	0.279102708137123	0.242075304465898	0.646255278502278	0.0863139344282245	0.577024841492066	0.338853190590991	0.775231113148301	0	0.874188673515633	0.608471882994714	3.3096786324227
value...32	0.356278104545396	0.643597616427434	0.362632612160014	0.542512984987166	0.0755678520345317	0.646446650797693	0.0382466444767554	0.638171256461805	0	0.889559922246853	0.602589993081	3.30345372189079
